datestop,False,True, ,Count,Success_Rate
2003-03-14,404.0,41.0,,445.0,0.0921348314607
2003-03-15,328.0,29.0,,357.0,0.0812324929972
2003-03-16,216.0,22.0,,238.0,0.0924369747899
2003-03-17,207.0,25.0,,232.0,0.10775862069
2003-03-18,333.0,25.0,,358.0,0.0698324022346
2003-03-19,386.0,47.0,,433.0,0.108545034642
2003-03-20,327.0,28.0,,355.0,0.0788732394366
2003-03-21,359.0,50.0,,409.0,0.122249388753
2003-03-22,338.0,46.0,,384.0,0.119791666667
2003-03-23,244.0,22.0,,266.0,0.0827067669173
2003-03-24,254.0,22.0,,276.0,0.0797101449275
2003-03-25,409.0,26.0,,435.0,0.0597701149425
2003-03-26,342.0,57.0,,399.0,0.142857142857
2003-03-27,382.0,37.0,,419.0,0.0883054892601
2003-03-28,458.0,34.0,,492.0,0.0691056910569
2003-03-29,310.0,41.0,,351.0,0.116809116809
2003-03-30,250.0,26.0,,276.0,0.0942028985507
2003-03-31,250.0,15.0,,265.0,0.0566037735849
2003-04-01,400.0,42.0,,442.0,0.0950226244344
2003-04-02,437.0,37.0,,474.0,0.07805907173
2003-04-03,425.0,39.0,,464.0,0.0840517241379
2003-04-04,447.0,59.0,,506.0,0.116600790514
2003-04-05,283.0,36.0,,319.0,0.112852664577
2003-04-06,192.0,21.0,,213.0,0.0985915492958
2003-04-07,149.0,23.0,,172.0,0.133720930233
2003-04-08,334.0,39.0,,373.0,0.104557640751
2003-04-09,384.0,36.0,,420.0,0.0857142857143
2003-04-10,454.0,35.0,,489.0,0.0715746421268
2003-04-11,394.0,46.0,,440.0,0.104545454545
2003-04-12,284.0,20.0,,304.0,0.0657894736842
2003-04-13,223.0,16.0,,239.0,0.0669456066946
2003-04-14,332.0,34.0,,366.0,0.0928961748634
2003-04-15,425.0,39.0,,464.0,0.0840517241379
2003-04-16,440.0,51.0,,491.0,0.103869653768
2003-04-17,385.0,46.0,,431.0,0.106728538283
2003-04-18,434.0,43.0,,477.0,0.0901467505241
2003-04-19,313.0,15.0,,328.0,0.0457317073171
2003-04-20,237.0,16.0,,253.0,0.0632411067194
2003-04-21,243.0,23.0,,266.0,0.0864661654135
2003-04-22,429.0,41.0,,470.0,0.0872340425532
2003-04-23,514.0,66.0,,580.0,0.113793103448
2003-04-24,439.0,38.0,,477.0,0.0796645702306
2003-04-25,380.0,33.0,,413.0,0.0799031476998
2003-04-26,400.0,28.0,,428.0,0.0654205607477
2003-04-27,255.0,29.0,,284.0,0.102112676056
2003-04-28,302.0,23.0,,325.0,0.0707692307692
2003-04-29,394.0,58.0,,452.0,0.128318584071
2003-04-30,526.0,45.0,,571.0,0.0788091068301
2003-05-01,418.0,51.0,,469.0,0.108742004264
2003-05-02,481.0,46.0,,527.0,0.0872865275142
2003-05-03,362.0,21.0,,383.0,0.0548302872063
2003-05-04,311.0,19.0,,330.0,0.0575757575758
2003-05-05,275.0,42.0,,317.0,0.132492113565
2003-05-06,472.0,49.0,,521.0,0.0940499040307
2003-05-07,448.0,46.0,,494.0,0.0931174089069
2003-05-08,536.0,76.0,,612.0,0.124183006536
2003-05-09,482.0,42.0,,524.0,0.0801526717557
2003-05-10,375.0,34.0,,409.0,0.0831295843521
2003-05-11,277.0,20.0,,297.0,0.0673400673401
2003-05-12,348.0,21.0,,369.0,0.0569105691057
2003-05-13,525.0,38.0,,563.0,0.0674955595027
2003-05-14,446.0,35.0,,481.0,0.0727650727651
2003-05-15,491.0,47.0,,538.0,0.0873605947955
2003-05-16,389.0,29.0,,418.0,0.0693779904306
2003-05-17,312.0,24.0,,336.0,0.0714285714286
2003-05-18,269.0,11.0,,280.0,0.0392857142857
2003-05-19,241.0,18.0,,259.0,0.0694980694981
2003-05-20,427.0,38.0,,465.0,0.0817204301075
2003-05-21,375.0,33.0,,408.0,0.0808823529412
2003-05-22,344.0,44.0,,388.0,0.113402061856
2003-05-23,370.0,29.0,,399.0,0.0726817042607
2003-05-24,365.0,41.0,,406.0,0.100985221675
2003-05-25,250.0,29.0,,279.0,0.10394265233
2003-05-26,202.0,15.0,,217.0,0.0691244239631
2003-05-27,391.0,40.0,,431.0,0.092807424594
2003-05-28,352.0,33.0,,385.0,0.0857142857143
2003-05-29,395.0,31.0,,426.0,0.0727699530516
2003-05-30,358.0,27.0,,385.0,0.0701298701299
2003-05-31,260.0,26.0,,286.0,0.0909090909091
2003-06-01,171.0,14.0,,185.0,0.0756756756757
2003-06-02,260.0,17.0,,277.0,0.0613718411552
2003-06-03,433.0,41.0,,474.0,0.0864978902954
2003-06-04,270.0,46.0,,316.0,0.145569620253
2003-06-05,439.0,44.0,,483.0,0.0910973084886
2003-06-06,343.0,34.0,,377.0,0.0901856763926
2003-06-07,252.0,30.0,,282.0,0.106382978723
2003-06-08,275.0,21.0,,296.0,0.0709459459459
2003-06-09,251.0,24.0,,275.0,0.0872727272727
2003-06-10,434.0,39.0,,473.0,0.0824524312896
2003-06-11,424.0,62.0,,486.0,0.127572016461
2003-06-12,416.0,46.0,,462.0,0.0995670995671
2003-06-13,388.0,32.0,,420.0,0.0761904761905
2003-06-14,319.0,27.0,,346.0,0.0780346820809
2003-06-15,218.0,27.0,,245.0,0.110204081633
2003-06-16,280.0,31.0,,311.0,0.0996784565916
2003-06-17,447.0,50.0,,497.0,0.10060362173
2003-06-18,543.0,72.0,,615.0,0.117073170732
2003-06-19,431.0,40.0,,471.0,0.0849256900212
2003-06-20,349.0,44.0,,393.0,0.111959287532
2003-06-21,313.0,38.0,,351.0,0.108262108262
2003-06-22,208.0,21.0,,229.0,0.0917030567686
2003-06-23,268.0,20.0,,288.0,0.0694444444444
2003-06-24,387.0,44.0,,431.0,0.102088167053
2003-06-25,390.0,33.0,,423.0,0.0780141843972
2003-06-26,306.0,41.0,,347.0,0.118155619597
2003-06-27,297.0,25.0,,322.0,0.0776397515528
2003-06-28,288.0,25.0,,313.0,0.0798722044728
2003-06-29,254.0,23.0,,277.0,0.0830324909747
2003-06-30,206.0,27.0,,233.0,0.115879828326
2003-07-01,374.0,39.0,,413.0,0.0944309927361
2003-07-02,363.0,46.0,,409.0,0.112469437653
2003-07-03,347.0,53.0,,400.0,0.1325
2003-07-04,284.0,14.0,,298.0,0.0469798657718
2003-07-05,272.0,23.0,,295.0,0.0779661016949
2003-07-06,194.0,14.0,,208.0,0.0673076923077
2003-07-07,232.0,23.0,,255.0,0.0901960784314
2003-07-08,376.0,42.0,,418.0,0.1004784689
2003-07-09,433.0,53.0,,486.0,0.109053497942
2003-07-10,444.0,42.0,,486.0,0.0864197530864
2003-07-11,365.0,34.0,,399.0,0.0852130325815
2003-07-12,338.0,29.0,,367.0,0.0790190735695
2003-07-13,246.0,12.0,,258.0,0.046511627907
2003-07-14,275.0,18.0,,293.0,0.061433447099
2003-07-15,390.0,45.0,,435.0,0.103448275862
2003-07-16,443.0,32.0,,475.0,0.0673684210526
2003-07-17,453.0,40.0,,493.0,0.0811359026369
2003-07-18,470.0,48.0,,518.0,0.0926640926641
2003-07-19,401.0,37.0,,438.0,0.0844748858447
2003-07-20,302.0,30.0,,332.0,0.0903614457831
2003-07-21,276.0,36.0,,312.0,0.115384615385
2003-07-22,477.0,50.0,,527.0,0.0948766603416
2003-07-23,542.0,43.0,,585.0,0.0735042735043
2003-07-24,495.0,50.0,,545.0,0.0917431192661
2003-07-25,433.0,41.0,,474.0,0.0864978902954
2003-07-26,400.0,36.0,,436.0,0.0825688073394
2003-07-27,359.0,26.0,,385.0,0.0675324675325
2003-07-28,327.0,24.0,,351.0,0.0683760683761
2003-07-29,511.0,33.0,,544.0,0.0606617647059
2003-07-30,521.0,28.0,,549.0,0.0510018214936
2003-07-31,446.0,32.0,,478.0,0.0669456066946
2003-08-01,493.0,33.0,,526.0,0.0627376425856
2003-08-02,438.0,33.0,,471.0,0.0700636942675
2003-08-03,338.0,22.0,,360.0,0.0611111111111
2003-08-04,320.0,17.0,,337.0,0.0504451038576
2003-08-05,559.0,46.0,,605.0,0.0760330578512
2003-08-06,570.0,63.0,,633.0,0.0995260663507
2003-08-07,579.0,78.0,,657.0,0.118721461187
2003-08-08,518.0,33.0,,551.0,0.059891107078
2003-08-09,507.0,33.0,,540.0,0.0611111111111
2003-08-10,350.0,19.0,,369.0,0.0514905149051
2003-08-11,392.0,20.0,,412.0,0.0485436893204
2003-08-12,559.0,34.0,,593.0,0.0573355817875
2003-08-13,590.0,43.0,,633.0,0.0679304897314
2003-08-14,314.0,33.0,,347.0,0.0951008645533
2003-08-15,364.0,33.0,,397.0,0.0831234256927
2003-08-16,660.0,48.0,,708.0,0.0677966101695
2003-08-17,305.0,19.0,,324.0,0.0586419753086
2003-08-18,263.0,9.0,,272.0,0.0330882352941
2003-08-19,456.0,42.0,,498.0,0.0843373493976
2003-08-20,524.0,35.0,,559.0,0.0626118067979
2003-08-21,638.0,46.0,,684.0,0.0672514619883
2003-08-22,551.0,27.0,,578.0,0.0467128027682
2003-08-23,488.0,24.0,,512.0,0.046875
2003-08-24,483.0,18.0,,501.0,0.0359281437126
2003-08-25,332.0,17.0,,349.0,0.0487106017192
2003-08-26,587.0,42.0,,629.0,0.0667726550079
2003-08-27,645.0,29.0,,674.0,0.0430267062315
2003-08-28,601.0,42.0,,643.0,0.0653188180404
2003-08-29,501.0,29.0,,530.0,0.0547169811321
2003-08-30,456.0,23.0,,479.0,0.0480167014614
2003-08-31,348.0,26.0,,374.0,0.0695187165775
2003-09-01,237.0,29.0,,266.0,0.109022556391
2003-09-02,454.0,38.0,,492.0,0.0772357723577
2003-09-03,567.0,49.0,,616.0,0.0795454545455
2003-09-04,589.0,55.0,,644.0,0.0854037267081
2003-09-05,569.0,36.0,,605.0,0.0595041322314
2003-09-06,503.0,29.0,,532.0,0.0545112781955
2003-09-07,384.0,28.0,,412.0,0.0679611650485
2003-09-08,418.0,17.0,,435.0,0.0390804597701
2003-09-09,445.0,33.0,,478.0,0.0690376569038
2003-09-10,643.0,35.0,,678.0,0.0516224188791
2003-09-11,667.0,43.0,,710.0,0.0605633802817
2003-09-12,671.0,44.0,,715.0,0.0615384615385
2003-09-13,497.0,18.0,,515.0,0.0349514563107
2003-09-14,420.0,17.0,,437.0,0.0389016018307
2003-09-15,429.0,14.0,,443.0,0.0316027088036
2003-09-16,538.0,33.0,,571.0,0.0577933450088
2003-09-17,586.0,35.0,,621.0,0.0563607085346
2003-09-18,639.0,34.0,,673.0,0.0505200594354
2003-09-19,516.0,42.0,,558.0,0.0752688172043
2003-09-20,464.0,27.0,,491.0,0.0549898167006
2003-09-21,295.0,22.0,,317.0,0.0694006309148
2003-09-22,366.0,22.0,,388.0,0.0567010309278
2003-09-23,445.0,32.0,,477.0,0.0670859538784
2003-09-24,506.0,45.0,,551.0,0.0816696914701
2003-09-25,487.0,34.0,,521.0,0.0652591170825
2003-09-26,421.0,38.0,,459.0,0.082788671024
2003-09-27,408.0,33.0,,441.0,0.0748299319728
2003-09-28,326.0,30.0,,356.0,0.0842696629213
2003-09-29,333.0,25.0,,358.0,0.0698324022346
2003-09-30,508.0,37.0,,545.0,0.0678899082569
2003-10-01,513.0,42.0,,555.0,0.0756756756757
2003-10-02,482.0,38.0,,520.0,0.0730769230769
2003-10-03,529.0,28.0,,557.0,0.0502692998205
2003-10-04,478.0,26.0,,504.0,0.0515873015873
2003-10-05,383.0,19.0,,402.0,0.047263681592
2003-10-06,381.0,24.0,,405.0,0.0592592592593
2003-10-07,594.0,47.0,,641.0,0.0733229329173
2003-10-08,539.0,46.0,,585.0,0.0786324786325
2003-10-09,431.0,37.0,,468.0,0.0790598290598
2003-10-10,518.0,46.0,,564.0,0.0815602836879
2003-10-11,550.0,39.0,,589.0,0.0662139219015
2003-10-12,430.0,16.0,,446.0,0.0358744394619
2003-10-13,381.0,29.0,,410.0,0.0707317073171
2003-10-14,513.0,47.0,,560.0,0.0839285714286
2003-10-15,452.0,34.0,,486.0,0.0699588477366
2003-10-16,536.0,54.0,,590.0,0.0915254237288
2003-10-17,595.0,48.0,,643.0,0.0746500777605
2003-10-18,539.0,35.0,,574.0,0.0609756097561
2003-10-19,401.0,14.0,,415.0,0.033734939759
2003-10-20,416.0,20.0,,436.0,0.045871559633
2003-10-21,549.0,47.0,,596.0,0.0788590604027
2003-10-22,500.0,29.0,,529.0,0.054820415879
2003-10-23,507.0,36.0,,543.0,0.0662983425414
2003-10-24,553.0,33.0,,586.0,0.0563139931741
2003-10-25,494.0,25.0,,519.0,0.0481695568401
2003-10-26,444.0,38.0,,482.0,0.0788381742739
2003-10-27,359.0,20.0,,379.0,0.0527704485488
2003-10-28,658.0,37.0,,695.0,0.0532374100719
2003-10-29,510.0,40.0,,550.0,0.0727272727273
2003-10-30,622.0,38.0,,660.0,0.0575757575758
2003-10-31,665.0,30.0,,695.0,0.0431654676259
2003-11-01,513.0,24.0,,537.0,0.0446927374302
2003-11-02,446.0,23.0,,469.0,0.0490405117271
2003-11-03,404.0,23.0,,427.0,0.0538641686183
2003-11-04,434.0,36.0,,470.0,0.0765957446809
2003-11-05,502.0,41.0,,543.0,0.0755064456722
2003-11-06,514.0,36.0,,550.0,0.0654545454545
2003-11-07,702.0,30.0,,732.0,0.0409836065574
2003-11-08,616.0,26.0,,642.0,0.0404984423676
2003-11-09,503.0,15.0,,518.0,0.0289575289575
2003-11-10,424.0,19.0,,443.0,0.0428893905192
2003-11-11,618.0,47.0,,665.0,0.0706766917293
2003-11-12,745.0,51.0,,796.0,0.0640703517588
2003-11-13,584.0,41.0,,625.0,0.0656
2003-11-14,653.0,42.0,,695.0,0.0604316546763
2003-11-15,588.0,41.0,,629.0,0.0651828298887
2003-11-16,478.0,21.0,,499.0,0.0420841683367
2003-11-17,374.0,29.0,,403.0,0.0719602977667
2003-11-18,623.0,58.0,,681.0,0.0851688693098
2003-11-19,519.0,52.0,,571.0,0.0910683012259
2003-11-20,484.0,35.0,,519.0,0.0674373795761
2003-11-21,625.0,51.0,,676.0,0.0754437869822
2003-11-22,671.0,30.0,,701.0,0.0427960057061
2003-11-23,471.0,34.0,,505.0,0.0673267326733
2003-11-24,381.0,25.0,,406.0,0.0615763546798
2003-11-25,432.0,41.0,,473.0,0.0866807610994
2003-11-26,445.0,29.0,,474.0,0.0611814345992
2003-11-27,170.0,13.0,,183.0,0.0710382513661
2003-11-28,370.0,29.0,,399.0,0.0726817042607
2003-11-29,440.0,33.0,,473.0,0.0697674418605
2003-11-30,422.0,16.0,,438.0,0.0365296803653
2003-12-01,364.0,19.0,,383.0,0.0496083550914
2003-12-02,370.0,22.0,,392.0,0.0561224489796
2003-12-03,431.0,31.0,,462.0,0.0670995670996
2003-12-04,421.0,24.0,,445.0,0.0539325842697
2003-12-05,316.0,23.0,,339.0,0.0678466076696
2003-12-06,259.0,10.0,,269.0,0.0371747211896
2003-12-07,272.0,9.0,,281.0,0.0320284697509
2003-12-08,268.0,17.0,,285.0,0.059649122807
2003-12-09,439.0,21.0,,460.0,0.045652173913
2003-12-10,446.0,35.0,,481.0,0.0727650727651
2003-12-11,391.0,32.0,,423.0,0.0756501182033
2003-12-12,440.0,24.0,,464.0,0.051724137931
2003-12-13,374.0,24.0,,398.0,0.0603015075377
2003-12-14,346.0,6.0,,352.0,0.0170454545455
2003-12-15,267.0,15.0,,282.0,0.0531914893617
2003-12-16,418.0,34.0,,452.0,0.0752212389381
2003-12-17,423.0,35.0,,458.0,0.0764192139738
2003-12-18,379.0,28.0,,407.0,0.0687960687961
2003-12-19,387.0,23.0,,410.0,0.0560975609756
2003-12-20,417.0,22.0,,439.0,0.0501138952164
2003-12-21,322.0,18.0,,340.0,0.0529411764706
2003-12-22,378.0,12.0,,390.0,0.0307692307692
2003-12-23,443.0,33.0,,476.0,0.0693277310924
2003-12-24,184.0,16.0,,200.0,0.08
2003-12-25,107.0,4.0,,111.0,0.036036036036
2003-12-26,358.0,24.0,,382.0,0.0628272251309
2003-12-27,368.0,15.0,,383.0,0.0391644908616
2003-12-28,308.0,10.0,,318.0,0.0314465408805
2003-12-29,363.0,16.0,,379.0,0.0422163588391
2003-12-30,422.0,25.0,,447.0,0.0559284116331
2003-12-31,261.0,11.0,,272.0,0.0404411764706
1900-12-31,4.0,1.0,,5.0,0.2
2004-01-01,921.0,59.0,,980.0,0.0602040816327
2004-01-02,826.0,56.0,,882.0,0.0634920634921
2004-01-03,688.0,41.0,,729.0,0.0562414266118
2004-01-04,640.0,33.0,,673.0,0.0490341753343
2004-01-05,489.0,20.0,,509.0,0.0392927308448
2004-01-06,824.0,62.0,,886.0,0.0699774266366
2004-01-07,840.0,61.0,,901.0,0.0677025527192
2004-01-08,893.0,63.0,,956.0,0.06589958159
2004-01-09,955.0,65.0,,1020.0,0.0637254901961
2004-01-10,788.0,46.0,,834.0,0.0551558752998
2004-01-11,771.0,33.0,,804.0,0.0410447761194
2004-01-12,620.0,33.0,,653.0,0.0505359877489
2004-01-13,823.0,42.0,,865.0,0.0485549132948
2004-01-14,700.0,62.0,,762.0,0.0813648293963
2004-01-15,691.0,42.0,,733.0,0.0572987721692
2004-01-16,951.0,48.0,,999.0,0.048048048048
2004-01-17,1011.0,42.0,,1053.0,0.039886039886
2004-01-18,731.0,48.0,,779.0,0.0616174582798
2004-01-19,669.0,43.0,,712.0,0.060393258427
2004-01-20,1039.0,83.0,,1122.0,0.0739750445633
2004-01-21,1247.0,77.0,,1324.0,0.0581570996979
2004-01-22,1306.0,88.0,,1394.0,0.0631276901004
2004-01-23,1458.0,80.0,,1538.0,0.0520156046814
2004-01-24,1436.0,76.0,,1512.0,0.0502645502646
2004-01-25,997.0,40.0,,1037.0,0.0385728061716
2004-01-26,757.0,30.0,,787.0,0.0381194409149
2004-01-27,862.0,65.0,,927.0,0.0701186623517
2004-01-28,1039.0,59.0,,1098.0,0.0537340619308
2004-01-29,1371.0,59.0,,1430.0,0.0412587412587
2004-01-30,1748.0,70.0,,1818.0,0.038503850385
2004-01-31,1426.0,62.0,,1488.0,0.0416666666667
2004-02-01,947.0,29.0,,976.0,0.0297131147541
2004-02-02,765.0,50.0,,815.0,0.0613496932515
2004-02-03,888.0,56.0,,944.0,0.0593220338983
2004-02-04,1218.0,81.0,,1299.0,0.0623556581986
2004-02-05,1482.0,76.0,,1558.0,0.0487804878049
2004-02-06,1643.0,84.0,,1727.0,0.0486392588303
2004-02-07,1615.0,75.0,,1690.0,0.0443786982249
2004-02-08,1171.0,46.0,,1217.0,0.037797863599
2004-02-09,879.0,56.0,,935.0,0.0598930481283
2004-02-10,1308.0,67.0,,1375.0,0.0487272727273
2004-02-11,1250.0,77.0,,1327.0,0.0580256217031
2004-02-12,1530.0,71.0,,1601.0,0.0443472829482
2004-02-13,1966.0,84.0,,2050.0,0.0409756097561
2004-02-14,2016.0,67.0,,2083.0,0.0321651464234
2004-02-15,1601.0,56.0,,1657.0,0.033796016898
2004-02-16,1441.0,49.0,,1490.0,0.0328859060403
2004-02-17,1657.0,75.0,,1732.0,0.0433025404157
2004-02-18,2091.0,84.0,,2175.0,0.0386206896552
2004-02-19,1941.0,74.0,,2015.0,0.0367245657568
2004-02-20,2104.0,94.0,,2198.0,0.0427661510464
2004-02-21,1823.0,67.0,,1890.0,0.0354497354497
2004-02-22,1452.0,77.0,,1529.0,0.0503597122302
2004-02-23,850.0,50.0,,900.0,0.0555555555556
2004-02-24,988.0,69.0,,1057.0,0.0652790917692
2004-02-25,1163.0,76.0,,1239.0,0.0613397901533
2004-02-26,1322.0,68.0,,1390.0,0.0489208633094
2004-02-27,1475.0,57.0,,1532.0,0.0372062663185
2004-02-28,1293.0,63.0,,1356.0,0.0464601769912
2004-02-29,846.0,42.0,,888.0,0.0472972972973
2004-03-01,616.0,25.0,,641.0,0.0390015600624
2004-03-02,938.0,37.0,,975.0,0.0379487179487
2004-03-03,1245.0,69.0,,1314.0,0.0525114155251
2004-03-04,1290.0,74.0,,1364.0,0.0542521994135
2004-03-05,1301.0,39.0,,1340.0,0.0291044776119
2004-03-06,1190.0,73.0,,1263.0,0.0577988915281
2004-03-07,892.0,54.0,,946.0,0.0570824524313
2004-03-08,742.0,43.0,,785.0,0.0547770700637
2004-03-09,1004.0,63.0,,1067.0,0.0590440487348
2004-03-10,1190.0,54.0,,1244.0,0.0434083601286
2004-03-11,1329.0,58.0,,1387.0,0.0418168709445
2004-03-12,1537.0,75.0,,1612.0,0.0465260545906
2004-03-13,1176.0,51.0,,1227.0,0.041564792176
2004-03-14,812.0,53.0,,865.0,0.0612716763006
2004-03-15,701.0,46.0,,747.0,0.0615796519411
2004-03-16,719.0,52.0,,771.0,0.0674448767834
2004-03-17,857.0,36.0,,893.0,0.040313549832
2004-03-18,1087.0,61.0,,1148.0,0.0531358885017
2004-03-19,1325.0,50.0,,1375.0,0.0363636363636
2004-03-20,1067.0,47.0,,1114.0,0.0421903052065
2004-03-21,750.0,27.0,,777.0,0.034749034749
2004-03-22,599.0,29.0,,628.0,0.046178343949
2004-03-23,912.0,48.0,,960.0,0.05
2004-03-24,992.0,59.0,,1051.0,0.0561370123692
2004-03-25,971.0,58.0,,1029.0,0.0563654033042
2004-03-26,1182.0,73.0,,1255.0,0.0581673306773
2004-03-27,1014.0,44.0,,1058.0,0.0415879017013
2004-03-28,767.0,28.0,,795.0,0.0352201257862
2004-03-29,678.0,19.0,,697.0,0.0272596843615
2004-03-30,796.0,52.0,,848.0,0.061320754717
2004-03-31,833.0,61.0,,894.0,0.0682326621924
2004-04-01,1133.0,56.0,,1189.0,0.0470984020185
2004-04-02,1102.0,60.0,,1162.0,0.0516351118761
2004-04-03,1124.0,43.0,,1167.0,0.0368466152528
2004-04-04,744.0,41.0,,785.0,0.0522292993631
2004-04-05,608.0,26.0,,634.0,0.0410094637224
2004-04-06,940.0,75.0,,1015.0,0.0738916256158
2004-04-07,1035.0,30.0,,1065.0,0.0281690140845
2004-04-08,1052.0,60.0,,1112.0,0.0539568345324
2004-04-09,1200.0,51.0,,1251.0,0.0407673860911
2004-04-10,939.0,48.0,,987.0,0.048632218845
2004-04-11,497.0,25.0,,522.0,0.0478927203065
2004-04-12,563.0,40.0,,603.0,0.0663349917081
2004-04-13,580.0,37.0,,617.0,0.0599675850891
2004-04-14,887.0,65.0,,952.0,0.0682773109244
2004-04-15,970.0,62.0,,1032.0,0.0600775193798
2004-04-16,987.0,39.0,,1026.0,0.0380116959064
2004-04-17,717.0,32.0,,749.0,0.0427236315087
2004-04-18,588.0,28.0,,616.0,0.0454545454545
2004-04-19,593.0,33.0,,626.0,0.0527156549521
2004-04-20,820.0,50.0,,870.0,0.0574712643678
2004-04-21,961.0,55.0,,1016.0,0.0541338582677
2004-04-22,909.0,40.0,,949.0,0.0421496311907
2004-04-23,1001.0,58.0,,1059.0,0.0547686496695
2004-04-24,823.0,59.0,,882.0,0.0668934240363
2004-04-25,574.0,34.0,,608.0,0.0559210526316
2004-04-26,512.0,38.0,,550.0,0.0690909090909
2004-04-27,787.0,50.0,,837.0,0.0597371565114
2004-04-28,883.0,59.0,,942.0,0.0626326963907
2004-04-29,981.0,71.0,,1052.0,0.0674904942966
2004-04-30,1012.0,46.0,,1058.0,0.0434782608696
2004-05-01,683.0,54.0,,737.0,0.0732700135685
2004-05-02,585.0,32.0,,617.0,0.0518638573744
2004-05-03,585.0,28.0,,613.0,0.0456769983687
2004-05-04,750.0,64.0,,814.0,0.0786240786241
2004-05-05,808.0,42.0,,850.0,0.0494117647059
2004-05-06,836.0,50.0,,886.0,0.0564334085779
2004-05-07,923.0,44.0,,967.0,0.0455015511892
2004-05-08,882.0,45.0,,927.0,0.0485436893204
2004-05-09,470.0,28.0,,498.0,0.0562248995984
2004-05-10,677.0,43.0,,720.0,0.0597222222222
2004-05-11,696.0,66.0,,762.0,0.0866141732283
2004-05-12,878.0,47.0,,925.0,0.0508108108108
